Month Name,Meter Name,Amount,Monetary Cost,Environmental Cost
1/1/2020,EL2,27,39.42,
2/1/2020,EL2,5,84.45,
4/1/2020,EL2,68,49.47,
5/1/2020,EL2,18,44.8,
6/1/2020,EL2,518,154.08,
7/1/2020,EL2,107,71.77,
8/1/2020,EL2,291,106.9,
9/1/2020,EL2,287,105.79,
10/1/2020,EL2,200,69.15,
11/1/2020,EL2,183,66.62,
12/1/2020,EL2,145,64.01,
1/1/2021,EL2,108,60.03,
12/1/2016,EL3,86,23.25,
1/1/2017,EL3,217,36.79,
2/1/2017,EL3,148,28.1,
3/1/2017,EL3,316,49.48,
4/1/2017,EL3,162,30.52,
5/1/2017,EL3,25,13.54,
6/1/2017,EL3,20,10.99,
7/1/2017,EL3,205,50.6,
8/1/2017,EL3,184,43.76,
9/1/2017,EL3,72,21.08,
10/1/2017,EL3,476,55.86,
11/1/2017,EL3,42,11.57,
12/1/2017,EL3,149,26.1,
1/1/2018,EL3,87,32.52,
2/1/2018,EL3,1,14.85,
3/1/2018,EL3,158,33.83,
4/1/2018,EL3,211,39.37,
5/1/2018,EL3,115,30.02,
6/1/2018,EL3,19,24.27,
7/1/2018,EL3,79,36.1,
8/1/2018,EL3,23,24.43,
9/1/2018,EL3,54,30.95,
10/1/2018,EL3,139,35.12,
11/1/2018,EL3,22,24.09,
12/1/2018,EL3,2,23.15,
1/1/2019,EL3,90,42.1,
3/1/2019,EL3,240,43.67,
4/1/2019,EL3,12,16.71,
5/1/2019,EL3,75,24.42,
6/1/2019,EL3,3,21.38,
8/1/2019,EL3,0,10.33,
9/1/2019,EL3,18,14.17,
10/1/2019,EL3,141,25.32,
11/1/2019,EL3,75,18.38,
12/1/2019,EL3,265,39.29,
1/1/2020,EL3,41,11.91,
2/1/2020,EL3,108,20.18,
3/1/2020,EL3,6,8.2,
4/1/2020,EL3,24,9.92,
5/1/2020,EL3,9,8.15,
6/1/2020,EL3,1,5.6,
7/1/2020,EL3,380,83.65,
8/1/2020,EL3,486,102.37,
9/1/2020,EL3,19,9.38,
10/1/2020,EL3,26,8.26,
11/1/2020,EL3,297,33.84,
12/1/2020,EL3,16,9.87,
1/1/2021,EL3,103,37.43,
12/1/2016,EL4,872,133.98,
1/1/2017,EL4,751,128.26,
2/1/2017,EL4,714,123.68,
3/1/2017,EL4,662,123.14,
4/1/2017,EL4,564,116.33,
5/1/2017,EL4,506,114.1,
6/1/2017,EL4,491,108.56,
7/1/2017,EL4,493,108.72,
8/1/2017,EL4,525,107.69,
9/1/2017,EL4,664,117.5,
10/1/2017,EL4,668,114.69,
11/1/2017,EL4,784,133.06,
12/1/2017,EL4,872,147.8,
1/1/2018,EL4,751,135.39,
2/1/2018,EL4,757,136.8,
3/1/2018,EL4,638,123.07,
4/1/2018,EL4,545,110.91,
5/1/2018,EL4,538,114.14,
6/1/2018,EL4,459,101.19,
7/1/2018,EL4,493,102.45,
8/1/2018,EL4,525,102.42,
9/1/2018,EL4,664,108.79,
10/1/2018,EL4,668,109.26,
11/1/2018,EL4,837,122.37,
12/1/2018,EL4,819,127.77,
1/1/2019,EL4,751,124.21,
2/1/2019,EL4,757,132.56,
3/1/2019,EL4,619,117.14,
4/1/2019,EL4,564,117.15,
5/1/2019,EL4,538,117.26,
6/1/2019,EL4,459,106.88,
7/1/2019,EL4,493,109.74,
8/1/2019,EL4,587,111.89,
9/1/2019,EL4,602,111.05,
10/1/2019,EL4,668,119.29,
11/1/2019,EL4,837,128.4,
12/1/2019,EL4,819,131.72,
1/1/2020,EL4,799,135.61,
2/1/2020,EL4,711,130.9,
3/1/2020,EL4,621,128.02,
4/1/2020,EL4,600,120.88,
5/1/2020,EL4,505,110.68,
6/1/2020,EL4,459,105.29,
7/1/2020,EL4,528,111.84,
8/1/2020,EL4,528,107.96,
9/1/2020,EL4,620,111.81,
10/1/2020,EL4,90.71,114.81,
11/1/2020,EL4,834,121.22,
12/1/2020,EL4,872,135.64,
1/1/2021,EL4,749,131.34,
12/1/2016,EL5,0,4.25,
1/1/2017,EL5,0,4.25,
2/1/2017,EL5,6,4.72,
3/1/2017,EL5,0,4.25,
4/1/2017,EL5,0,4.25,
5/1/2017,EL5,0,4.25,
6/1/2017,EL5,0,4.25,
7/1/2017,EL5,0,4.25,
8/1/2017,EL5,0,4.25,
9/1/2017,EL5,0,4.25,
10/1/2017,EL5,0,4.25,
11/1/2017,EL5,0,4.25,
12/1/2017,EL5,0,4.25,
1/1/2018,EL5,0,4.24,
2/1/2018,EL5,0,4.24,
3/1/2018,EL5,0,4.24,
4/1/2018,EL5,0,4.24,
5/1/2018,EL5,0,4.24,
6/1/2018,EL5,0,4.24,
7/1/2018,EL5,0,4.24,
8/1/2018,EL5,0,4.24,
9/1/2018,EL5,0,4.24,
10/1/2018,EL5,0,4.24,
11/1/2018,EL5,0,4.74,
12/1/2018,EL5,0,4.73,
1/1/2019,EL5,0,4.74,
2/1/2019,EL5,0,4.74,
3/1/2019,EL5,0,4.74,
4/1/2019,EL5,0,4.74,
5/1/2019,EL5,0,4.73,
6/1/2019,EL5,0,4.74,
7/1/2019,EL5,0,4.74,
8/1/2019,EL5,0,4.74,
9/1/2019,EL5,0,4.73,
10/1/2019,EL5,0,4.79,
11/1/2019,EL5,0,4.79,
12/1/2019,EL5,0,4.78,
1/1/2020,EL5,0,4.79,
2/1/2020,EL5,0,4.79,
3/1/2020,EL5,0,4.79,
4/1/2020,EL5,0,4.79,
5/1/2020,EL5,0,4.78,
6/1/2020,EL5,0,4.79,
7/1/2020,EL5,0,4.79,
8/1/2020,EL5,0,4.79,
9/1/2020,EL5,0,4.79,
10/1/2020,EL5,0,4.79,
11/1/2020,EL5,0,4.79,
12/1/2020,EL5,0,4.78,
1/1/2021,EL5,0,4.79,
3/1/2020,EL6,920,1133.02,
5/1/2020,EL6,360,626.56,
6/1/2020,EL6,0,0,
7/1/2020,EL6,400,996.04,
8/1/2020,EL6,360,990.59,
9/1/2020,EL6,360,989.59,
10/1/2020,EL6,360,634.84,
11/1/2020,EL6,400,635.8,
12/1/2020,EL6,400,632.8,
1/1/2021,EL6,360,671.56,
12/1/2018,Estimated Co-Gen Electric,10884679.2,,
1/1/2019,Estimated Co-Gen Electric,9707757.57,,
2/1/2019,Estimated Co-Gen Electric,10849477.6,,
3/1/2019,Estimated Co-Gen Electric,11652614.63,,
4/1/2019,Estimated Co-Gen Electric,11326021.4,,
5/1/2019,Estimated Co-Gen Electric,8028565.66,,
6/1/2019,Estimated Co-Gen Electric,10096783.58,,
7/1/2019,Estimated Co-Gen Electric,10302134.8,,
8/1/2019,Estimated Co-Gen Electric,11608367.82,,
9/1/2019,Estimated Co-Gen Electric,11214783.38,,
10/1/2019,Estimated Co-Gen Electric,9890572.53,,
11/1/2019,Estimated Co-Gen Electric,10999690.9,,
12/1/2019,Estimated Co-Gen Electric,10884679.2,,
1/1/2020,Estimated Co-Gen Electric,10978918.64,,
2/1/2020,Estimated Co-Gen Electric,11172856.72,,
2/1/2016,Fuel Oil Deliveries,7501,,
2/1/2016,Fuel Oil Deliveries,7500,,
3/1/2016,Fuel Oil Deliveries,4510.3,,
3/1/2016,Fuel Oil Deliveries,8115,,
3/1/2016,Fuel Oil Deliveries,7521,,
3/1/2016,Fuel Oil Deliveries,5540,,
5/1/2017,Fuel Oil Deliveries,191.9,340.28,
5/1/2017,Fuel Oil Deliveries,474.3,841.03,
5/1/2017,Fuel Oil Deliveries,74,131.22,
5/1/2017,Fuel Oil Deliveries,55.8,98.94,
1/1/2017,Fuel Oil Deliveries,7517,16709.54,
1/1/2017,Fuel Oil Deliveries,7542,16757.57,
1/1/2017,Fuel Oil Deliveries,4070.5,9048.31,
1/1/2017,Fuel Oil Deliveries,3968.3,8821.13,
1/1/2018,Fuel Oil Deliveries,7505,16829.96,
1/1/2018,Fuel Oil Deliveries,7504,16827.72,
1/1/2018,Fuel Oil Deliveries,7539,16766.74,
1/1/2018,Fuel Oil Deliveries,7504,16688.9,
1/1/2018,Fuel Oil Deliveries,7505,16998.83,
1/1/2018,Fuel Oil Deliveries,3898.7,8861.75,
1/1/2018,Fuel Oil Deliveries,7505,16998.83,
1/1/2018,Fuel Oil Deliveries,7505,16998.83,
1/1/2018,Fuel Oil Deliveries,7505,16857.73,
1/1/2018,Fuel Oil Deliveries,7505,16813.45,
